Opportunity Id,Agency Id,Agency Name,Opportunity Campaign Name,,Opportunity Description,Opportunity Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342472d4-2b0e-4672-d5f5-08de5c5060ea,d79fb918-5017-f011-81a3-90cb95efafa1,Mercy Home for Children,2026 Career Launch - Healthcare,Direct Support Professional Intern – Mercy Home,"WHO WE ARE:  Mercy Home for Children, Inc. is a nonprofit organization rooted in the compassionate legacy of the Sisters of Mercy. Across Brooklyn, Queens, and Nassau County, we support individuals with Intellectual and Developmental disabilities through 13 residential programs, serving more than 100 residents in environments designed to foster dignity, independence, and belonging. Our work is guided by a vision of a world where equity is lived, inclusion is practiced, and every individual is empowered to participate fully in the life of their community    DUTIES & RESPONSIBILITIES:  Shadow Direct Support Professionals in our residential programs, shadow members of our Clinical Team, or provide Administrative support    INTERN WILL LEARN/DEVELOP:  Job Readiness, Human Services, Professionalism, Soft Skills, OPWDD Training    SUPERVISION  Interns will be supervised by Program Managers/Assistant Program Managers. Meetings with HR will take place mid-point through the internship and towards the end. Check-ins will take place on a weekly basis or as needed.    WORK SCHEDULE:  Monday - Friday, 9 AM - 5 PM; flexible hours    LOCATION:  In-person, Brooklyn and Queens locations:  1519 East 59th Street Brooklyn, NY 11234  140 Johnson Ave, Brooklyn NY 11206 APT 3E&3F  436 Derby Rd. Baldwin NY 11510  47-01 Parsons Blvd. Flushing, NY 11355  1058 Herkimer St. Brooklyn, NY 11233  176 Taffea Place Brooklyn, NY 11205  149-26 123rd St. South Ozone, NY 11420  137-21 Brookville Blvd. Rosedale, NY 11422  259 North 5th St. Brooklyn, NY 11211  2161 Gerristen Ave. Brooklyn, NY 11229  878 Manhattan Ave. Brooklyn, NY 11222  104 Richard St. Brooklyn, NY 11231  1370 Union St. Brooklyn, NY 11213        NOTE:  There is a full background check process required, along with an up-to-date PPD test",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fd83fd8-ad9f-4e0a-d5fe-08de5c5060ea,f0a2b918-5017-f011-81a3-90cb95efafa1,The Wellness You Desire,2026 Career Launch - Healthcare,VIRTUAL Women's & Maternal Health Internship- The Wellness You Desire,"Holistic Women's + Maternal Health and Wellness Intern – (The Wellness You Desire)    WHO WE ARE:  The Wellness You Desire is a global holistic womanhood movement for women and mothers who desire to heal and nourish their mind, body, spirit and womb. We specialize in the sacred reproductive transitions of menses, pregnancy, and postpartum.     The Wellness You Desire identifies as a Black, woman-owned business.     DUTIES & RESPONSIBILITIES:  *Assist with administrative tasks such as organizing wellness courses, managing calendars, organizing client files, build out client management systems  * Research the latest evidence- based studies on related topics (periods, pregnancy, and postpartum) from PubMed, NIH, etc.  * Contribute to marketing efforts by creating social media content, drafting newsletters, and updating website content.  *Assist in organizing and promoting workshops, events, and other promotional activities.  *Conduct research on industry trends, competitor analysis, and potential partnerships.  *Provide general support to the team as needed to ensure smooth day-to-day operations.    INTERN WILL LEARN/DEVELOP:  * Robust Holistic Women's and Maternal Health and Wellness (Periods, Pregnancy, Postpartum) Education  * Project Management   * Lead Generation  * Course Creation   *Administrative and Organizational Skills  * Medical Research Skills   *Marketing and Promotion      WORK SCHEDULE:  DAYS/TIME:   Flexible Schedule b/t the hours of 9AM and 6PM weekdays.   Occasional weekends available, if needed to fulfill hours.  Mandatory: Twice a week 1 hour Check in Meeting (can discuss time)    LOCATION:  VIRTUAL ONLY     NOTE:  Greetings! This position is fully remote with a flexible work schedule. The intention is for the intern to enhance their women's and maternal knowledge, research capabilities, administrative skills, and work in a fast paced environment. The Wellness You Desire is fully committed to the health and wellness of all women, mothers, and families but the focus is on Black, Brown, and Indigenous peoples. ",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71941f31-4ade-43ed-d5ff-08de5c5060ea,f0a2b918-5017-f011-81a3-90cb95efafa1,The Wellness You Desire,2026 Career Launch - Community and Social Services,VIRTUAL Women's & Maternal Health Internship- The Wellness You Desire,"Holistic Women's + Maternal Health and Wellness Intern) – (The Wellness You Desire  Description  WHO WE ARE:  The Wellness You Desire is a global holistic womanhood movement for women and mothers who desire to heal and nourish their mind, body, spirit and womb. We specialize in the sacred reproductive transitions of menses, pregnancy, and postpartum.     The Wellness You Desire identifies as a Black, woman-owned business.     DUTIES & RESPONSIBILITIES:  *Assist with administrative tasks such as organizing wellness courses, managing calendars, organizing client files, build out client management systems  * Research the latest evidence- based studies on related topics (periods, pregnancy, and postpartum) from PubMed, NIH, etc.  * Contribute to marketing efforts by creating social media content, drafting newsletters, and updating website content.  *Assist in organizing and promoting workshops, events, and other promotional activities.  *Conduct research on industry trends, competitor analysis, and potential partnerships.  *Provide general support to the team as needed to ensure smooth day-to-day operations.    INTERN WILL LEARN/DEVELOP:  * Robust Holistic Women's and Maternal Health and Wellness (Periods, Pregnancy, Postpartum) Education  * Project Management   * Lead Generation  * Course Creation   *Administrative and Organizational Skills  * Medical Research Skills   *Marketing and Promotion      WORK SCHEDULE:  DAYS/TIME:   Flexible Schedule b/t the hours of 9AM and 6PM weekdays.   Occasional weekends available, if needed to fulfill hours.  Mandatory: Twice a week 1 hour Check in Meeting (can discuss time)    LOCATION:  VIRTUAL ONLY     NOTE:  Greetings! This position is fully remote with a flexible work schedule. The intention is for the intern to enhance their women's and maternal knowledge, research capabilities, administrative skills, and work in a fast paced environment. The Wellness You Desire is fully committed to the health and wellness of all women, mothers, and families but the focus is on Black, Brown, and Indigenous peoples. ",Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ea6090e-c540-497f-d603-08de5c5060ea,faa0b918-5017-f011-81a3-90cb95efafa1,LaGuardia Community College,2026 Career Launch - Marketing and Communications,Content Creator Intern - LaGuardia Community College,"WHO WE ARE:  The Office of Communications and External Affairs works with a group of student collaborators who contribute to multimedia projects for the college's official Social Media channels and website. This is a ?paid position?, offering flexible hours that accommodate all students’ class schedules, and it's also a fun working environment.    We are seeking a creative and outgoing intern to join the team as a Content Creator for the summer to help us engage their peers with relatable and outgoing content that highlights the perks of CUNY/Community College students, but also explores fun ways to showcase self-development and how your college years can be a fun adventure. The ideal candidate is comfortable being on camera and passionate about creating engaging content that teaches and connects with our audience. No experience is required; we will train the right person.    DUTIES & RESPONSIBILITIES:  - Assisting in the planning, filming, and editing of videos and other multimedia content for the college's social media and website.  - Working with our team to generate new and engaging content ideas  - Participating in on-camera segments for videos and other multimedia content  - Collaborating with other departments to generate content to help promote them while focusing on the college’s goals and branding  - Implementing social media and (appropriate) cultural trends to engage followers.    PREFERRED SKILLS:  - Good communication skills and ability to work in a team environment  - Positive attitude, outgoing personality, and comfortable being on camera  - A desire to learn and grow in the content creation/marketing/communications field.    INTERN WILL LEARN/DEVELOP SKILLS IN:  - Content/video planning, production, and some editing  - Project management  - Time management  - Storytelling  - Incorporating CTAs (calls to action) into social media content    SUPERVISION   The content creator (s) will meet with their internship supervisor at least once per week to discuss topic and content assignments, which will aim to promote or raise awareness among the student population. We will also offer technical/video editing support and will provide feedback regarding storytelling and content planning to allow the student/s to grow their multimedia skills.    WORK SCHEDULE:  DAYS/TIME: Monday, Tuesday, and Wednesday from 9:00 am to 5:00 pm | We will work with students to accommodate class schedules.    LOCATION: Hybrid - LaGuardia Community College: 31-10 Thomson Ave, Long Island City, NY 11101    NOTE: The position is mostly in-person, though after the training period, the content creator (s) will be encouraged to explore video projects/settings in a variety of locations, so they will not be expected to be at our office 100% of the time. All the work would involve covering events on campus and our community garden, Newtown Creek, and our community greenway—all of which are within a 5-minute walk from our campus.",Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232f312c-051d-4441-d608-08de5c5060ea,d4a3b918-5017-f011-81a3-90cb95efafa1,Essen Healthcare,2026 Career Launch - Marketing and Communications,Marketing Intern – Essen Health Care,"ABOUT US:  Essen Health Care is an integrated, multi-specialty healthcare delivery organization dedicated to providing quality, compassionate, and accessible medical care to underserved residents of New York State. With a focus on integrated care and patient empowerment, Essen Health Care offers a full spectrum of services, including primary care, behavioral health, and specialty care, all aimed at improving access and health outcomes. Essen Health Care is committed to advancing health equity and ensuring that all patients receive the care they need to lead healthier and happier lives. Founded in 1999, Essen provides care in all five boroughs of New York City, with a primary focus in the Bronx.    DUTIES & RESPONSIBILITIES:  We are looking for a motivated and detail-oriented Marketing Intern to join our dynamic marketing team. This intern will play a hands-on role in supporting Essen’s digital presence, community engagement, and brand storytelling across multiple platforms. This is a great opportunity for a student or recent graduate looking to gain real-world experience in healthcare marketing.    Responsibilities:  · Google analytics  · Meta business suite (posting organic and paid)  · LinkedIn Ads (post organic and paid)  · Market research  · Collaborate with the internal creative team and agency partners to support development of flyers, banners, and other marketing materials    PREFERRED QUALIFICATIONS - Not Required  · Marketing experience.  · Worked with Google Ads, Meta Business Suite, Salesforce / Marketing Cloud Intelligence  · Familiarity with content marketing best practices.    SUPERVISION:  · Weekly meetings to address the week agenda  · Meetings can be either in person meetings or Teams meetings  · The VP of Marketing will be overviewing your progress and provide feedback    INTERN WILL LEARN/DEVELOP:  • KPI & Dashboard Reporting  • Customer Segmentation  • Marketing Metrics & Attribution  • Attention to Detail  • Problem Solving  • Time Management    WORK SCHEDULE:  In-Person  Intern to maintain consistent schedule between normal business hours of Mon-Fri 9AM-5PM.    LOCATION:  Intern to report in-person to Essen Health Care Location at 1371 Seabury Ave, Bronx, NY 10461",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89bc2846-eef3-4294-d609-08de5c5060ea,d4a3b918-5017-f011-81a3-90cb95efafa1,Essen Healthcare,2026 Career Launch - Healthcare,Jr. Project Coordinator (Healthcare Workforce Development/ Healthcare Experience Exposure) – Essen Health Care,"WHO WE ARE:  At Essen Health Care, we care for that!    As the largest privately held multispecialty medical group in the Bronx, we provide high-quality, compassionate, and accessible medical care to some of the most vulnerable and under-served residents of New York State. Guided by a Population Health model of care, Essen has five integrated clinical divisions offering urgent care, primary care, and specialty services, as well as nursing home staffing and care management. Founded in 1999, our over 20-year commitment has fueled an unwavering dedication toward innovating a better healthcare delivery system. Essen has expanded from a single primary care office to an umbrella organization offering specialties from women’s health to endocrinology, from psychiatry to a vast array of other specialties. All clinical services are offered via telehealth or in-person at over 35 medical offices and at home through the Essen House Calls program.    Essen Health Care is the place Where Care Comes Together! We are looking for the most talented and effective individuals to join our rapidly growing company. With over 1,100 employees and 400+ Practitioners, we care for over 250,000 patients annually in New York City and beyond. From medical providers to administration & operational staff, there is a career here for you. Join our team today!    Job Summary: Our Jr. Project coordinator will work with various members of the management team to develop a timeline, create schedules, and oversee progress to make sure goals are met on time. He/she is also responsible for coordinating and attending meetings and developing project strategies.    Responsibilities:  • Coordinate project management activities, resources, equipment and information  • Break projects into doable actions and set timeframes  • Liaise with all necessary parties to identify and define requirements, scope and objectives  • Assign tasks to internal teams and assist with schedule management  • Make sure that clients’ needs are met as projects evolve  • Analyze risks and opportunities  • Oversee project procurement management  • Monitor project progress and handle any issues that arise  • Act as the point of contact and communicate project status to all participants  • Work with the Director and other Coordinators to develop, maintain, research and advertise workforce development projects spearheaded by the organization.  • Create and maintain comprehensive project documentation, plans and reports  • Ensure standards and requirements are met through conducting quality assurance tests  • Contribute to marketing efforts to promote the organization's initiatives and academics programs and expand its reach    Qualifications:  • Proven work experience as a Project Coordinator or similar role  • Experience in project management, from conception to delivery  • An ability to prepare and interpret flowcharts, schedules and step-by-step action plans  • Solid organizational skills, including multitasking and time-management  • Strong client-facing and teamwork skills  • Familiarity with risk management and quality assurance control  • Strong working knowledge of Microsoft Suite  • Hands-on experience with project management tools    INTERN WILL LEARN/DEVELOP:  * Project coordination  * Time management  * Presenting  * Problem Solving  * Communication  * Community Advocacy    WORK SCHEDULE:  In-Person  Intern to maintain consistent schedule between normal business hours of Mon-Fri 9AM-5PM.    LOCATION:  Intern to report in-person to Essen Health Care Location at 2626 Halperin Ave, Bronx, NY 10461",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34dd19ad-7229-4733-d60a-08de5c5060ea,d4a3b918-5017-f011-81a3-90cb95efafa1,Essen Healthcare,2026 Career Launch - Community and Social Services,HR Intern - Essen Health Care,"WHO WE ARE:  At Essen Health Care, we care for that!    As the largest privately held multispecialty medical group in the Bronx, we provide high-quality, compassionate, and accessible medical care to some of the most vulnerable and under-served residents of New York State. Guided by a Population Health model of care, Essen has five integrated clinical divisions offering urgent care, primary care, and specialty services, as well as nursing home staffing and care management. Founded in 1999, our over 20-year commitment has fueled an unwavering dedication toward innovating a better healthcare delivery system. Essen has expanded from a single primary care office to an umbrella organization offering specialties from women’s health to endocrinology, from psychiatry to a vast array of other specialties. All clinical services are offered via telehealth or in-person at over 35 medical offices and at home through the Essen House Calls program.    Essen Health Care is the place Where Care Comes Together! We are looking for the most talented and effective individuals to join our rapidly growing company. With over 1,100 employees and 400+ Practitioners, we care for over 250,000 patients annually in New York City and beyond. From medical providers to administration & operational staff, there is a career here for you. Join our team today!    Job Summary: We are seeking a detail-oriented and proactive HR Intern to support our Human Resources department. The HR Intern will be responsible for a wide range of administrative tasks, assisting with recruitment, onboarding, employee records management, and HR compliance. This role is essential to ensuring the smooth and efficient operation of our HR functions and initiatives. An interest in patient experience, healthcare quality, or digital engagement will help the intern succeed in this role. Strong communication skills, curiosity, and a willingness to learn are important.    Responsibilities:  Depending on departmental assignment, the intern may:  · Assists in running reports  · Monitor daily survey responses and create and manage survey distributions  · Build and update Qualtrics dashboards (for Patient Experience)  · Coordinate HR projects (meetings, training, etc.)  · Assist with technical trainings in person and virtual  · Deal with employee requests regarding human resources issues, rules, and regulations  · Data tracking and leave inquiries  · Ensure HR documents are mailed and scanned  · Assist with planning and execution of HR-related events or initiatives    Qualifications:  · Pursing a degree in Human Resources, Business Administration, or related field (preferred but not mandatory)  · Strong organizational and time-management skills  · Excellent communication and interpersonal skills  · High level of confidentiality and professionalism  · Proficient in Microsoft Office Suite (Word, Excel, Outlook, PowerPoint)  · Knowledge of labor laws and HR best practices is advantageous    Intern will learn:  · Communication (verbal & written)  · Teamwork & Collaboration  · Problem?Solving / Critical Thinking  · Adaptability / Flexibility  · Attention to Detail    Work Schedule:  In-Person  Intern to maintain consistent schedule between normal business hours of Mon-Fri 9AM-5PM.    Location:  Intern to report in-person to Essen Health Care Location at 2626 Halperin Ave, Bronx, NY 10461",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758ebdae-31ee-4378-d60b-08de5c5060ea,959db918-5017-f011-81a3-90cb95efafa1,SafeHarbor HealthCare Services,2026 Career Launch - Healthcare,Administrative – SafeHarbor Healthcare Services,"    Since 1967, SafeHarbor Healthcare Service is a family-owned business. Our mission has been to provide compassionate, high-quality care for clients in the comfort of their own homes or care facilities. We are committed to empowering our clients to maintain their independence, improve their overall health and well-being, and enhance their quality of life. Our team of licensed healthcare professionals is dedicated to delivering skilled nursing and therapeutic services tailored to each client’s unique needs while fostering a warm and supportive environment that promotes healing and wellness. We strive to be the premier provider of home health services in our community and to make a meaningful difference in the lives of those we serve. The mission of SafeHarbor is to provide the highest quality home care services to our clients.     DUTIES & RESPONSIBILITIES:  Intern will assist SafeHarbor staff in data entry, fielding phone calls, staff coordination, human resources, job fairs, billing and other projects that should arise.      INTERN WILL LEARN/DEVELOP:  *Telephone etiquette  *Writing Skills  *Office experience    SUPERVISION  Depending on which are the student will be working in that day, the supervision will be overseed by the manager of that area.    WORK SCHEDULE:  DAYS/TIME: Office is open 9 to 5 Monday to Friday  LOCATION:  In Person:  1477 Hylan Blvd, Staten Island, New York 10305    NOTE:  COVID Vaccine preferred.  Also, a Staten Islander is preferred as travel to our location from other boroughs is very difficult.",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194fa7c5-ddc8-4fcd-d60c-08de5c5060ea,549db918-5017-f011-81a3-90cb95efafa1,Queens Botanical Garden,2026 Career Launch - STEM and Green,2026 Summer Career Launch Corps - Queens Botanical Garden Compost Intern,"PLEASE INSERT ALL THE REQUESTED INFORMATION BELOW:      WHO WE ARE:  Queens Botanical Garden (QBG) is a private non-profit cultural institution located on 39 acres of New York City public land in Flushing, New York. A recently completed visitor survey reveals that 45% of visitors speak a language other than English at home. This fact underscores the importance of the mission and the challenges and opportunities QBG faces daily in creating programs, exhibits and landscapes that serve the needs of people who live in and visit one of the most ethnically diverse counties in the nation. The Garden has committed itself to addressing the complex and ever-changing needs of its diverse community and to being the place where people, plants, and cultures meet. Intern will be part of a larger NYC SCI-Network program and will have access/be invited to networking and professional opportunities across our cultural partners.    DUTIES & RESPONSIBILITIES:  Compost Outreach interns will get their hands dirty and take part in all phases of composting at QBG’s mid scale compost facility. Along side staff and volunteers, Interns will learn how to make compost recipes, carpentry, and prep the garden for the spring! We are interested in independent people who are excited to bring their passions to the position to help our department. • Prepare for Compost Education Workshops • Research and schedule weekly outreach tabling • Share newly learned knowledge to the public in a fun and exciting way • Support staff with onsite composting • Support with volunteer events and site tours • Distribute produce and compost to community members Requirements: • Experienced with Instagram • A good communicator who is comfortable interacting with the public • Readily ask for support and clarification • Passionate about diverting waste to landfills    INTERN WILL LEARN/DEVELOP:  Get ready for a sustainability experience that will include: Compost & Garden Education, Offsite garden visits and volunteer work, and community outreach. Compost Outreach Interns are in integral part of our spring community engagement team. Interns will attend an intensive Compost Site Training course alongside community gardeners and environmental activists and use that knowledge to share with the public via outreach tabling events, community giveaway events, and more! • Community outreach skills • Creating or updating marketing materials, outreach materials or newsletters • Leading tours, greeting visitors, answering questions • Learn how to make compost recipes, carpentry, and prep the garden for the spring • Learn all phases of composting at QBG’s mid scale compost facility    WORK SCHEDULE:  DAYS/TIME: Available Sundays through Thursdays, 9am-4pm    LOCATION: Location: 43-50 Main Street, Flushing NY 11355 (in-person)",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b807fb00-b203-4a95-d60d-08de5c5060ea,549db918-5017-f011-81a3-90cb95efafa1,Queens Botanical Garden,2026 Career Launch - STEM and Green,2026 Summer Career Launch Corps - Queens Botanical Garden Education Intern,"PLEASE INSERT ALL THE REQUESTED INFORMATION BELOW:    WHO WE ARE:  Queens Botanical Garden (QBG) is a private non-profit cultural institution located on 39 acres of New York City public land in Flushing, New York. A recently completed visitor survey reveals that 45% of visitors speak a language other than English at home. This fact underscores the importance of the mission and the challenges and opportunities QBG faces daily in creating programs, exhibits and landscapes that serve the needs of people who live in and visit one of the most ethnically diverse counties in the nation. The Garden has committed itself to addressing the complex and ever-changing needs of its diverse community and to being the place where people, plants, and cultures meet. Intern will be part of a larger NYC SCI-Network program and will have access/be invited to networking and professional opportunities across our cultural partners.    DUTIES & RESPONSIBILITIES:  The Education Intern will work with Youth Programs Instructors to support the needs of children's programming. Under the supervision of QBG Education staff, interns will work with children to facilitate lessons during our seasonal programs. Tasks include assisting instructors to teach and prepare materials, maintenance of garden plots, supporting Children's learning through various gardening and art activities, and cleaning up after programs. Must be committed to being present and punctual on workdays.     During the summer internship, the intern will specifically support our extended hours program (similar to after-school) for Summer Children’s Garden. On days with low or no attendance, the intern will support with administrative tasks (such as creating newsletters) and gardening.    QBG’s Youth Programs bring together youngsters ages 2 to 14 from around New York City to enjoy seasonal, hands-on learning and gardening experiences year-round. Our young gardeners explore concepts of ecological balance, sustainability, and conservation as they learn how to prepare soil, select seeds and plants, and care for and later harvest their own vegetables, flowers, and herbs that they turn into nutritious and delicious snacks in the classroom. We explore these concepts at age-appropriate levels throughout each season. We strive to create an immersive experience in all programs- a blend of structured and freeform exploration designed to provide children with the support they need to express their natural curiosity.    INTERN WILL LEARN/DEVELOP:  CUNY interns will learn about the inner-workings of a cultural institution's ongoing children's programing. They will gain valuable skills in facilitating programming and maintaining a garden space designed for small hands. The intern will also gain experience in working as part of a professional team with diverse academic and career backgrounds, evaluating the effectiveness of our current models, researching alternative models and collaborating with staff. This position offers very useful experience to individuals interested in entering the non-profit Education sector, museum education, environmental education, informal education and/or early childhood education. Opportunity will include administrative, teaching, and gardening work.    WORK SCHEDULE:  DAYS/TIME: Mondays through Thursdays 1:15-6pm. NOTE: Training to be provided week of June 29 through July 2nd, 8am-4pm each day. Attendance is required.    LOCATION: Location: 43-50 Main Street, Flushing NY 11355  This position is on-site, but we are ADA compliant. Please note the job will require bending, lifting, etc. to garden & work with children. We can provide a virtual option to accommodate occasional sick days, but cannot provide a fully virtual internship.",Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
